Name,chr,pos,Relation_to_Island,UCSC_RefGene_Name,UCSC_RefGene_Group,hg
cg24258699,chr8,72756901,S_Shore,MSC,TSS200,hg19
cg19006130,chr11,118478252,Island,PHLDB1;PHLDB1;PHLDB1,TSS200;5'UTR;TSS200,hg19
cg27254482,chr21,34398085,Island,OLIG2,TSS200,hg19
cg02547394,chr13,112721789,Island,SOX1,TSS200,hg19
cg14868703,chr12,113909948,Island,LHX5,TSS200,hg19
cg00021108,chr14,92980026,Island,RIN3,TSS200,hg19
cg17267805,chr10,44880545,Island,CXCL12;CXCL12;CXCL12,TSS200;TSS200;TSS200,hg19
cg21229268,chr21,34442350,Island,OLIG1,TSS200,hg19
cg06060191,chr1,99729790,N_Shore,LPPR4;LPPR4,TSS200;TSS200,hg19
cg00375448,chr10,92980276,N_Shore,PCGF5,TSS200,hg19
cg04614997,chr17,27333185,Island,SEZ6;SEZ6,TSS200;TSS200,hg19
cg02647941,chr3,147127143,Island,ZIC1,TSS200,hg19
cg06178563,chr20,21494712,Island,NKX2-2,TSS200,hg19
cg25463470,chr13,112721712,Island,SOX1,TSS200,hg19
cg07963234,chr4,5894923,Island,CRMP1,TSS200,hg19
cg21517947,chr8,41167107,Island,SFRP1,TSS200,hg19
cg20578175,chr15,100882213,Island,ADAMTS17,TSS200,hg19
cg17104422,chr8,80680126,Island,HEY1;HEY1,TSS200;TSS200,hg19
cg02637438,chr8,134584246,Island,ST3GAL1;ST3GAL1,TSS200;TSS200,hg19
cg21523908,chr1,177140609,S_Shore,FAM5B,TSS200,hg19
cg26375259,chr19,3985535,Island,EEF2,TSS200,hg19
cg03865257,chr18,21269410,Island,LAMA3;LAMA3,TSS200;TSS200,hg19
cg24864402,chr20,55204278,Island,TFAP2C,TSS200,hg19
cg02724127,chr3,129325706,S_Shore,PLXND1,TSS200,hg19
cg12266953,chr2,20866261,Island,GDF7,TSS200,hg19
cg02341038,chr11,119020138,Island,ABCG4;ABCG4,TSS200;5'UTR,hg19
cg00272200,chr5,44388972,OpenSea,FGF10,TSS200,hg19
cg19384289,chr2,176994365,Island,HOXD8,TSS200,hg19
cg06959103,chr17,45810436,N_Shore,TBX21,TSS200,hg19
cg06469345,chr4,9783246,Island,DRD5,TSS200,hg19
cg23316818,chr10,98945795,Island,SLIT1,TSS200,hg19
cg08748615,chr1,39957298,Island,BMP8A,TSS200,hg19
cg00419040,chr1,236445386,Island,ERO1LB,TSS200,hg19
cg03448766,chr22,20792243,Island,SCARF2;SCARF2,TSS200;TSS200,hg19
cg23191380,chr7,90893747,Island,FZD1,TSS200,hg19
cg23889440,chr18,48086416,Island,MAPK4,TSS200,hg19
cg26745332,chr4,94749942,Island,ATOH1,TSS200,hg19
cg20361600,chr2,172967608,Island,DLX2,TSS200,hg19
cg17678719,chr6,29910273,Island,HLA-A,TSS200,hg19
cg02484469,chr20,61051036,Island,GATA5,TSS200,hg19
cg19035004,chr12,15942522,Island,EPS8,TSS200,hg19
cg22889573,chr3,134369939,Island,KY,TSS200,hg19
cg15819646,chr1,12226928,Island,TNFRSF1B,TSS200,hg19
cg26124980,chr4,94749890,Island,ATOH1,TSS200,hg19
cg26410450,chr11,17740967,Island,MYOD1,TSS200,hg19
cg18768157,chr10,35930534,Island,FZD8,TSS200,hg19
cg11208656,chr10,22605201,Island,COMMD3,TSS200,hg19
cg11018337,chr10,8095495,Island,FLJ45983;GATA3;GATA3;FLJ45983,TSS200;TSS1500;TSS1500;TSS200,hg19
cg09313801,chr1,17446027,Island,PADI2,TSS200,hg19
cg11334771,chr11,71955337,Island,PHOX2A,TSS200,hg19
cg13368756,chr5,11904127,Island,CTNND2,TSS200,hg19
cg10197862,chr10,95653705,Island,TMEM20;TMEM20,TSS200;TSS200,hg19
cg03958798,chr10,106400686,Island,SORCS3,TSS200,hg19
cg08872713,chr16,56716227,Island,MT1X,TSS200,hg19
cg09518742,chr11,119020115,Island,ABCG4;ABCG4,TSS200;5'UTR,hg19
cg07568418,chr1,24194974,Island,FUCA1,TSS200,hg19
cg02523839,chr22,18893727,Island,DGCR6,TSS200,hg19
cg27357571,chr21,34398226,Island,OLIG2,TSS200,hg19
cg14910495,chr2,219824329,Island,CDK5R2,TSS200,hg19
cg00012992,chr14,61788345,Island,PRKCH,TSS200,hg19
cg01128482,chr2,177028621,N_Shore,HOXD3,TSS200,hg19
cg10000424,chr2,219724404,Island,WNT6,TSS200,hg19
cg14993276,chr19,10397642,Island,ICAM4;ICAM4;ICAM4,TSS200;TSS200;TSS200,hg19
cg05065989,chr7,27205200,Island,HOXA9,TSS200,hg19
cg06377929,chr1,1407001,Island,ATAD3B,TSS200,hg19
cg14902146,chr15,90294607,Island,MESP1,TSS200,hg19
cg02978421,chr7,27135780,Island,HOXA1;HOXA1,TSS200;TSS200,hg19
cg14354472,chr9,135037189,Island,NTNG2,TSS200,hg19
cg13931925,chr1,179545216,Island,NPHS2,TSS200,hg19
cg02899206,chr10,1779835,Island,ADARB2,TSS200,hg19
cg12339905,chr11,125366263,Island,FEZ1;FEZ1,TSS200;TSS200,hg19
cg19714940,chr11,10326573,Island,ADM,TSS200,hg19
cg10724771,chr4,83720102,Island,SCD5;SCD5,TSS200;TSS200,hg19
cg22215737,chr17,4643257,Island,CXCL16;ZMYND15;CXCL16;ZMYND15,TSS200;TSS200;TSS200;TSS200,hg19
cg11464285,chr11,33796225,Island,FBXO3;FBXO3,TSS200;TSS200,hg19
cg17167852,chr1,55505189,Island,PCSK9,TSS200,hg19
cg11815914,chr18,59992350,Island,TNFRSF11A,TSS200,hg19
cg23702412,chr14,70655803,Island,SLC8A3;SLC8A3;SLC8A3;SLC8A3,TSS200;TSS200;TSS200;TSS200,hg19
cg14826792,chr8,63998649,Island,TTPA,TSS200,hg19
cg07411432,chr6,108487100,Island,NR2E1,TSS200,hg19
cg01110759,chr16,56672387,Island,MT1A,TSS200,hg19
cg11167100,chr15,83776269,Island,TM6SF1;TM6SF1,TSS200;TSS200,hg19
cg10711209,chr1,179545155,Island,NPHS2,TSS200,hg19
cg02841227,chr6,26021843,N_Shore,HIST1H4A,TSS200,hg19
cg22237459,chr1,206680720,Island,RASSF5;RASSF5,TSS200;TSS200,hg19
cg22773661,chr4,48492225,Island,ZAR1,TSS200,hg19
cg07808555,chr1,111217712,Island,KCNA3,TSS200,hg19
cg18648987,chr15,28344513,S_Shore,OCA2,TSS200,hg19
cg21426003,chr2,237076811,Island,GBX2,TSS200,hg19
cg12091346,chr3,129325717,S_Shore,PLXND1,TSS200,hg19
cg22825631,chr10,105253538,Island,NEURL,TSS200,hg19
cg09279512,chr1,201252510,Island,PKP1;PKP1,TSS200;TSS200,hg19
cg09276368,chr10,98945791,Island,SLIT1,TSS200,hg19
cg00656387,chr3,40428638,N_Shore,ENTPD3,TSS200,hg19
cg06025938,chr6,106959592,N_Shore,AIM1,TSS200,hg19
cg21306240,chr1,38230845,Island,EPHA10;EPHA10,TSS200;TSS200,hg19
cg24403845,chr10,108924366,Island,SORCS1;SORCS1,TSS200;TSS200,hg19
cg27299532,chr19,41036340,S_Shore,SPTBN4;SPTBN4,TSS200;Body,hg19
cg20094085,chr10,60936248,Island,PHYHIPL;PHYHIPL,TSS200;TSS1500,hg19
cg22152407,chr20,23030446,Island,THBD,TSS200,hg19
cg27341608,chr19,56165316,Island,U2AF2;U2AF2,TSS200;TSS200,hg19
cg10706069,chr10,112836688,Island,ADRA2A,TSS200,hg19
cg13450005,chr11,32457257,Island,WT1;WIT1;WT1;WT1;WT1,TSS200;TSS200;TSS200;TSS200;TSS200,hg19
cg01952234,chr11,32457130,Island,WT1;WIT1;WT1;WT1;WT1,TSS200;TSS200;TSS200;TSS200;TSS200,hg19
cg16651196,chr1,39957206,Island,BMP8A,TSS200,hg19
cg21294812,chr6,132722770,Island,MOXD1,TSS200,hg19
cg09658576,chr7,139477957,Island,TBXAS1;TBXAS1;HIPK2;HIPK2,TSS200;TSS200;TSS1500;TSS1500,hg19
cg10481400,chr16,67596437,Island,CTCF,TSS200,hg19
cg02473103,chr19,46272606,Island,SIX5,TSS200,hg19
cg03952331,chr22,20792222,Island,SCARF2;SCARF2,TSS200;TSS200,hg19
cg02620694,chr4,46391436,N_Shore,GABRA2;GABRA2,TSS200;5'UTR,hg19
cg00085403,chr1,144932207,Island,PDE4DIP;PDE4DIP;PDE4DIP,TSS200;Body;Body,hg19
cg24505618,chr15,45422054,Island,DUOX1;DUOX1;DUOXA1;DUOXA1,TSS200;TSS200;1stExon;5'UTR,hg19
cg15299832,chr21,34398131,Island,OLIG2,TSS200,hg19
cg06070960,chr3,134514110,Island,EPHB1,TSS200,hg19
cg03473387,chr18,19749395,Island,GATA6,TSS200,hg19
cg04155195,chr16,82203986,Island,MPHOSPH6,TSS200,hg19
cg13133961,chr6,36355488,Island,ETV7,TSS200,hg19
cg18918349,chr6,108487160,Island,NR2E1,TSS200,hg19
cg03940157,chr17,27333108,Island,SEZ6;SEZ6,TSS200;TSS200,hg19
cg25943588,chr11,14993913,N_Shore,CALCA;CALCA;CALCA,TSS200;TSS200;TSS200,hg19
cg24766334,chr14,92790072,Island,SLC24A4;SLC24A4;SLC24A4,TSS200;5'UTR;TSS200,hg19
cg11207852,chr1,91966655,Island,CDC7;CDC7;CDC7,TSS200;5'UTR;5'UTR,hg19
cg04801617,chr12,106976843,N_Shore,RFX4,TSS200,hg19
cg24201890,chr17,72931857,Island,OTOP3,TSS200,hg19
cg27585405,chr16,475496,Island,RAB11FIP3,TSS200,hg19
cg13096260,chr8,97505764,Island,SDC2,TSS200,hg19
cg08265644,chr14,70655871,Island,SLC8A3;SLC8A3;SLC8A3;SLC8A3,TSS200;TSS200;TSS200;TSS200,hg19
cg00126959,chr17,48712203,Island,ABCC3;ABCC3,TSS200;TSS200,hg19
cg26335527,chr1,155100185,Island,EFNA1;EFNA1,TSS200;TSS200,hg19
cg17107459,chr2,65216295,Island,SLC1A4;SLC1A4,TSS200;5'UTR,hg19
cg20211779,chr11,34378921,Island,ABTB2,TSS200,hg19
cg14906390,chr11,113930251,Island,ZBTB16;ZBTB16,TSS200;TSS1500,hg19
cg18144285,chr15,91643026,Island,SV2B;SV2B,TSS200;TSS1500,hg19
cg00044463,chr1,184006933,S_Shore,GLT25D2,TSS200,hg19
cg25236446,chr17,74137418,Island,FOXJ1,TSS200,hg19
cg09017619,chr7,27196320,Island,HOXA7,TSS200,hg19
cg24635257,chr1,12226947,Island,TNFRSF1B,TSS200,hg19
cg13094511,chr2,99061177,Island,INPP4A;INPP4A;INPP4A;INPP4A,TSS200;TSS200;TSS200;TSS200,hg19
cg12260653,chr10,95653689,Island,TMEM20;TMEM20,TSS200;TSS200,hg19
cg06697339,chr19,17982759,Island,SLC5A5,TSS200,hg19
cg16491617,chr8,54164391,Island,OPRK1,TSS200,hg19
cg25640822,chr5,134871645,Island,NEUROG1,TSS200,hg19
cg26011014,chr1,40783003,Island,COL9A2,TSS200,hg19
cg22364668,chr19,49944826,N_Shore,SLC17A7,TSS200,hg19
cg11661250,chr6,26021799,N_Shore,HIST1H4A,TSS200,hg19
cg01567634,chr1,114696671,Island,SYT6,TSS200,hg19
cg10814856,chr2,75426800,Island,TACR1;TACR1,TSS200;TSS200,hg19
cg05886671,chr10,71333152,Island,NEUROG3,TSS200,hg19
cg19988028,chr15,28344587,S_Shore,OCA2,TSS200,hg19
cg07435294,chr11,65554356,Island,OVOL1,TSS200,hg19
cg02676375,chr5,170736180,Island,TLX3,TSS200,hg19
cg18086187,chr1,10057158,Island,RBP7,TSS200,hg19
cg14998335,chr22,20792255,Island,SCARF2;SCARF2,TSS200;TSS200,hg19
cg08383399,chr8,4852488,Island,CSMD1,TSS200,hg19
cg01941895,chr20,25062771,Island,VSX1;VSX1,TSS200;TSS200,hg19
cg08430409,chr12,49372077,Island,WNT1,TSS200,hg19
cg10880755,chr5,43192240,Island,MGC42105,TSS200,hg19
cg16857858,chr7,27213984,Island,HOXA10;HOXA10,TSS200;Body,hg19
cg21669272,chr12,50451395,Island,ACCN2;ACCN2,TSS200;TSS200,hg19
cg26283893,chr12,54332457,N_Shore,HOXC13,TSS200,hg19
cg19346645,chr4,141490153,Island,UCP1,TSS200,hg19
cg03047724,chr7,139477895,Island,TBXAS1;TBXAS1;HIPK2;HIPK2,TSS200;TSS200;TSS1500;TSS1500,hg19
cg17271180,chr15,76629110,Island,ISL2,TSS200,hg19
cg13281139,chr4,20255061,Island,SLIT2,TSS200,hg19
cg25975379,chr14,75745397,Island,FOS,TSS200,hg19
cg05116906,chr13,33590495,Island,KL,TSS200,hg19
cg17083941,chr11,8285557,S_Shore,LMO1,TSS200,hg19
cg11039694,chr3,50304941,OpenSea,SEMA3B;SEMA3B,TSS200;TSS200,hg19
cg21189054,chr11,112831901,N_Shore,NCAM1;NCAM1;NCAM1,TSS200;TSS200;TSS200,hg19
cg15936439,chr13,20767183,Island,GJB2,TSS200,hg19
cg16661654,chr11,10326549,Island,ADM,TSS200,hg19
cg24864683,chr1,180199274,Island,LHX4,TSS200,hg19
cg17334018,chr4,96470293,Island,UNC5C,TSS200,hg19
cg24581326,chr20,55204266,Island,TFAP2C,TSS200,hg19
cg21184859,chr12,28123054,Island,PTHLH;PTHLH;PTHLH;PTHLH,TSS200;5'UTR;TSS200;5'UTR,hg19
cg02848777,chr10,98273714,Island,TLL2,TSS200,hg19
cg06757784,chr15,66994613,Island,SMAD6;SMAD6,TSS200;TSS200,hg19
cg18438944,chr16,56672525,Island,MT1A,TSS200,hg19
cg14390489,chr10,7709073,OpenSea,ITIH5;ITIH5,TSS200;TSS200,hg19
cg26274596,chr12,45445023,Island,DBX2,TSS200,hg19
cg07127259,chr11,2466042,N_Shore,KCNQ1,TSS200,hg19
cg14796370,chr20,61273660,Island,SLCO4A1,TSS200,hg19
cg20926035,chr2,45236630,Island,SIX2,TSS200,hg19
cg14834938,chr5,50678919,Island,ISL1,TSS200,hg19
cg24359323,chr11,69634372,Island,FGF3,TSS200,hg19
cg05237641,chr10,128077307,Island,ADAM12;ADAM12,TSS200;TSS200,hg19
cg23317907,chr2,222437071,Island,EPHA4,TSS200,hg19
cg15680624,chr2,219858132,Island,CRYBA2;CRYBA2;CRYBA2,TSS200;TSS200;TSS200,hg19
cg03897252,chr10,64133801,Island,ZNF365;ZNF365;ZNF365,TSS200;TSS200;TSS200,hg19
cg22630755,chr5,134871807,Island,NEUROG1,TSS200,hg19
cg21949747,chr22,18593368,Island,TUBA8,TSS200,hg19
cg06963053,chr2,182545533,N_Shelf,NEUROD1,TSS200,hg19
cg15233711,chr11,13299315,Island,ARNTL;ARNTL;ARNTL,TSS200;TSS200;TSS200,hg19
cg10537220,chr10,64133795,Island,ZNF365;ZNF365;ZNF365,TSS200;TSS200;TSS200,hg19
cg08323075,chr4,5053504,Island,STK32B,TSS200,hg19
cg13148126,chr17,8924759,Island,NTN1,TSS200,hg19
cg08311403,chr11,124735215,Island,ROBO3,TSS200,hg19
cg09911734,chr16,67226006,OpenSea,E2F4,TSS200,hg19
cg25827490,chr8,72756839,S_Shore,MSC,TSS200,hg19
cg27346528,chr17,44896212,Island,WNT3,TSS200,hg19
cg22798201,chr4,46995637,Island,GABRA4,TSS200,hg19
cg04644773,chr5,179636283,Island,RASGEF1C,TSS200,hg19
cg05446424,chr2,14772734,Island,FAM84A,TSS200,hg19
cg25159376,chr14,50159763,Island,KLHDC1,TSS200,hg19
cg14145477,chr13,33590493,Island,KL,TSS200,hg19
cg23813514,chr10,88126285,Island,GRID1,TSS200,hg19
cg00508498,chr11,34378805,Island,ABTB2,TSS200,hg19
cg14825221,chr4,83720052,Island,SCD5;SCD5,TSS200;TSS200,hg19
cg06263193,chr18,28622912,Island,DSC3;DSC3,TSS200;TSS200,hg19
cg02004418,chr2,45236740,Island,SIX2,TSS200,hg19
cg19180624,chr2,177053297,Island,HOXD1,TSS200,hg19
cg09435929,chr8,86350913,Island,CA3,TSS200,hg19
cg10535017,chr17,61699755,Island,MAP3K3;MAP3K3,TSS200;TSS200,hg19
cg09891129,chr11,94134732,Island,GPR83,TSS200,hg19
cg12642414,chr15,63796736,Island,USP3,TSS200,hg19
cg14794428,chr12,103351436,N_Shore,ASCL1,TSS200,hg19
cg15897645,chr4,85419547,Island,NKX6-1,TSS200,hg19
cg18741679,chr5,111755041,Island,EPB41L4A;FLJ11235,TSS200;TSS1500,hg19
cg10713073,chr2,27070915,Island,DPYSL5,TSS200,hg19
cg08497530,chr16,82660434,N_Shore,CDH13,TSS200,hg19
cg14957547,chr2,38303386,Island,CYP1B1,TSS200,hg19
cg23847712,chr4,9783196,Island,DRD5,TSS200,hg19
cg01647111,chr8,22014425,Island,LGI3,TSS200,hg19
cg08526825,chr16,2802229,Island,SRRM2;LOC100128788,TSS200;Body,hg19
cg03469521,chr16,66878810,Island,CA7;CA7,TSS200;Body,hg19
cg20399260,chr11,13299305,Island,ARNTL;ARNTL;ARNTL,TSS200;TSS200;TSS200,hg19
cg12417685,chr3,68981852,Island,FAM19A4;FAM19A4,TSS200;TSS200,hg19
cg17840453,chr19,59055720,Island,TRIM28,TSS200,hg19
cg25167838,chr7,155605092,Island,SHH,TSS200,hg19
cg12740148,chr17,35306017,Island,AATF,TSS200,hg19
cg00852573,chr6,73331405,Island,KCNQ5;KCNQ5;KCNQ5;KCNQ5;KCNQ5,TSS200;TSS200;TSS200;TSS200;TSS200,hg19
cg04597433,chr4,9783206,Island,DRD5,TSS200,hg19
cg21883754,chr19,54926437,N_Shore,TTYH1;TTYH1,TSS200;TSS200,hg19
cg06782686,chr14,52535964,Island,NID2,TSS200,hg19
cg21859781,chr8,97173034,Island,GDF6,TSS200,hg19
cg16060486,chr2,38303472,Island,CYP1B1,TSS200,hg19
cg16937778,chr2,219858247,Island,CRYBA2;CRYBA2;CRYBA2,TSS200;TSS200;TSS200,hg19
cg00088227,chr7,127225777,Island,GCC1,TSS200,hg19
cg02442412,chr4,83720054,Island,SCD5;SCD5,TSS200;TSS200,hg19
cg25329269,chr9,86432854,Island,GKAP1;GKAP1,TSS200;TSS200,hg19
cg19761848,chr2,237076815,Island,GBX2,TSS200,hg19
cg25698998,chr13,33590401,Island,KL,TSS200,hg19
cg22620221,chr7,153584416,Island,DPP6,TSS200,hg19
cg17906146,chr3,72897762,Island,SHQ1,TSS200,hg19
cg19907305,chr19,18902117,Island,COMP,TSS200,hg19
cg06712627,chr1,91966606,Island,CDC7;CDC7;CDC7,TSS200;5'UTR;5'UTR,hg19
cg18515291,chr7,73134093,Island,STX1A;STX1A,TSS200;TSS200,hg19
cg19409588,chr3,32148040,Island,GPD1L,TSS200,hg19
cg13837913,chr6,26189410,S_Shore,HIST1H4D,TSS200,hg19
cg06349981,chr2,10443745,Island,HPCAL1;HPCAL1,TSS200;5'UTR,hg19
cg20283582,chr6,150464000,Island,PPP1R14C,TSS200,hg19
cg12872889,chr17,74137522,Island,FOXJ1,TSS200,hg19
cg02460997,chr12,28123086,Island,PTHLH;PTHLH;PTHLH;PTHLH,TSS200;5'UTR;TSS200;5'UTR,hg19
cg02631468,chr20,25062777,Island,VSX1;VSX1,TSS200;TSS200,hg19
cg25984671,chr20,591083,Island,TCF15,TSS200,hg19
cg07755173,chr10,35930525,Island,FZD8,TSS200,hg19
cg12307698,chr4,46995659,Island,GABRA4,TSS200,hg19
cg23226717,chr5,175788968,Island,KIAA1191;KIAA1191;KIAA1191,TSS200;TSS200;TSS200,hg19
cg07882671,chr5,1883005,Island,IRX4,TSS200,hg19
cg22059431,chr5,49962729,Island,PARP8,TSS200,hg19
cg01532206,chr16,66878709,Island,CA7;CA7,TSS200;Body,hg19
cg05729499,chr6,27832945,N_Shore,HIST1H2AL,TSS200,hg19
cg14022711,chr10,26727069,Island,APBB1IP,TSS200,hg19
cg03307911,chr20,52790601,Island,CYP24A1;CYP24A1,TSS200;TSS200,hg19
cg22488998,chr1,92951720,Island,GFI1;GFI1,TSS200;5'UTR,hg19
cg23331626,chr2,130737216,Island,RAB6C,TSS200,hg19
cg09184730,chr6,167275834,Island,RPS6KA2,TSS200,hg19
cg07055504,chr3,27763865,Island,EOMES,TSS200,hg19
cg19245361,chr17,61699734,Island,MAP3K3;MAP3K3,TSS200;TSS200,hg19
cg17739026,chr1,27114420,Island,PIGV,TSS200,hg19
cg00590851,chr13,27335089,Island,GPR12,TSS200,hg19
cg08328777,chr15,45422004,Island,DUOX1;DUOX1;DUOXA1;DUOXA1,TSS200;TSS200;1stExon;5'UTR,hg19
cg10470588,chr6,75915749,Island,COL12A1;COL12A1,TSS200;TSS200,hg19
cg05192974,chr6,31795436,N_Shore,HSPA1B,TSS200,hg19
cg19320505,chr11,107461715,N_Shore,ELMOD1;ELMOD1;LOC643923,TSS200;TSS200;TSS1500,hg19
cg18180394,chr11,107461785,Island,ELMOD1;ELMOD1;LOC643923,TSS200;TSS200;TSS1500,hg19
cg15119027,chr11,69634363,Island,FGF3,TSS200,hg19
cg14953590,chr6,117586666,Island,VGLL2;VGLL2,TSS200;TSS200,hg19
cg16759888,chr6,46620647,Island,CYP39A1;SLC25A27,TSS200;TSS200,hg19
cg10635194,chr1,112531975,Island,KCND3;KCND3,TSS200;TSS200,hg19
cg12225377,chr11,65122185,Island,TIGD3,TSS200,hg19
cg27278953,chr14,77737661,Island,NGB,TSS200,hg19
cg13453520,chr4,48485306,N_Shore,SLC10A4,TSS200,hg19
cg27567401,chr6,75915782,Island,COL12A1;COL12A1,TSS200;TSS200,hg19
cg10755973,chr9,126773879,Island,LHX2,TSS200,hg19
cg11149743,chr17,46688419,Island,HOXB7,TSS200,hg19
cg27648075,chr18,28622876,Island,DSC3;DSC3,TSS200;TSS200,hg19
cg27373134,chr22,31090740,Island,OSBP2,TSS200,hg19
cg13631572,chr14,24803903,Island,ADCY4,TSS200,hg19
cg04085025,chr7,30029442,Island,SCRN1;SCRN1;SCRN1;SCRN1,TSS200;Body;5'UTR;TSS200,hg19
cg13325154,chr10,104001240,Island,PITX3,TSS200,hg19
cg17462074,chr12,14133168,N_Shore,GRIN2B,TSS200,hg19
cg01892516,chr14,38064532,Island,FOXA1,TSS200,hg19
cg07311313,chr13,28543507,Island,CDX2,TSS200,hg19
cg18228326,chr1,17446068,Island,PADI2,TSS200,hg19
cg01593834,chr5,145718401,Island,POU4F3,TSS200,hg19
cg06601475,chr13,92050843,N_Shore,GPC5,TSS200,hg19
cg01450204,chr11,11643690,Island,GALNTL4,TSS200,hg19
cg09424526,chr2,223163809,Island,PAX3;PAX3;PAX3;CCDC140;PAX3;PAX3;PAX3;PAX3;PAX3,TSS200;TSS200;TSS200;5'UTR;TSS200;TSS200;TSS200;TSS200;TSS200,hg19
cg03181582,chr11,17498530,Island,ABCC8,TSS200,hg19
cg03376183,chr17,61699771,Island,MAP3K3;MAP3K3,TSS200;TSS200,hg19
cg19296671,chr11,128562297,N_Shore,FLI1,TSS200,hg19
cg25052320,chr7,44365303,Island,CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,hg19
cg14044640,chr7,27187560,Island,HOXA6,TSS200,hg19
cg25252585,chr19,35633972,Island,FXYD7,TSS200,hg19
cg02716516,chr3,45838074,Island,SLC6A20;SLC6A20,TSS200;TSS200,hg19
cg26417642,chr11,2466095,N_Shore,KCNQ1,TSS200,hg19
cg11856810,chr2,155554961,Island,KCNJ3,TSS200,hg19
cg08761693,chr7,87563649,Island,ADAM22;ADAM22;ADAM22;ADAM22;ADAM22,TSS200;TSS200;TSS200;TSS200;TSS200,hg19
cg17868920,chr2,158485541,Island,ACVR1C;ACVR1C;ACVR1C,TSS200;TSS200;TSS200,hg19
cg08751472,chr2,45236701,Island,SIX2,TSS200,hg19
cg02539083,chr7,97361148,Island,TAC1;TAC1;TAC1;TAC1,TSS200;TSS200;TSS200;TSS200,hg19
cg21567504,chr15,28344477,Island,OCA2,TSS200,hg19
cg01074657,chr1,78511466,N_Shore,GIPC2,TSS200,hg19
cg19840066,chr22,20792224,Island,SCARF2;SCARF2,TSS200;TSS200,hg19
cg11067756,chr1,161993675,Island,OLFML2B,TSS200,hg19
cg21913681,chr12,115122060,Island,TBX3;TBX3,TSS200;TSS200,hg19
cg23148701,chr12,64062498,Island,DPY19L2,TSS200,hg19
cg03097111,chr10,99078896,Island,FRAT1,TSS200,hg19
cg26382848,chr14,23451889,Island,JUB,TSS200,hg19
cg11909976,chr19,59055696,Island,TRIM28,TSS200,hg19
cg07540103,chr17,6679499,Island,FBXO39,TSS200,hg19
cg06001881,chr10,92980263,N_Shore,PCGF5,TSS200,hg19
cg02612712,chr19,3985498,Island,EEF2,TSS200,hg19
cg09608387,chr6,150464020,Island,PPP1R14C,TSS200,hg19
cg00235260,chr15,100882250,Island,ADAMTS17,TSS200,hg19
cg09251429,chr11,124735128,Island,ROBO3,TSS200,hg19
cg25742540,chr15,91643000,Island,SV2B;SV2B,TSS200;TSS1500,hg19
cg17365845,chr8,134309737,Island,NDRG1;NDRG1,TSS200;TSS200,hg19
cg10151473,chr10,7708934,OpenSea,ITIH5;ITIH5,TSS200;TSS200,hg19
cg22570122,chr16,49315822,Island,CBLN1,TSS200,hg19
cg08728892,chr2,222437081,Island,EPHA4,TSS200,hg19
cg14910368,chr12,57610455,Island,NXPH4,TSS200,hg19
cg01101400,chr1,3566704,Island,WDR8,TSS200,hg19
