Name,chr,pos,Relation_to_Island,UCSC_RefGene_Name,UCSC_RefGene_Group,hg,clock,weight_clock
cg24911113,chr19,23185714,Island,,,hg19,AGE,1
cg03574723,chr10,125425994,Island,GPR26,1stExon,hg19,AGE,1
cg18335796,chr8,91094472,OpenSea,CALB1,Body,hg19,AGE,1
cg21657577,chr19,52956622,N_Shore,ZNF578,TSS1500,hg19,AGE,1
cg17357286,chr1,210111531,Island,SYT14;SYT14;SYT14;SYT14;SYT14;SYT14;SYT14;SYT14;SYT14;SYT14;SYT14,5'UTR;5'UTR;5'UTR;5'UTR;1stExon;1stExon;1stExon;1stExon;1stExon;5'UTR;Body,hg19,AGE,1
cg01908954,chr15,51973764,Island,SCG3;SCG3;SCG3;SCG3,5'UTR;1stExon;5'UTR;1stExon,hg19,AGE,1
cg18770350,chr1,236849966,Island,ACTN2;ACTN2,1stExon;5'UTR,hg19,AGE,1
cg07203423,chr2,74743009,Island,TLX2,Body,hg19,AGE,1
cg11220950,chr16,2042693,Island,SYNGR3,Body,hg19,AGE,1
cg04472859,chr6,119789081,OpenSea,LOC285762,Body,hg19,AGE,-1
cg19416570,chr19,58715677,Island,ZNF274;ZNF274;ZNF274,Body;Body;5'UTR,hg19,AGE,1
cg15504461,chr3,147140880,N_Shore,,,hg19,AGE,1
cg11563680,chr6,100917397,Island,,,hg19,AGE,1
cg23536681,chr4,380267,Island,,,hg19,AGE,1
cg04105760,chr2,175199722,Island,SP9,TSS200,hg19,AGE,1
cg05937737,chr3,170303540,Island,SLC7A14,5'UTR,hg19,AGE,1
cg03583264,chr5,161495004,OpenSea,GABRG2;GABRG2;GABRG2;GABRG2;GABRG2;GABRG2,5'UTR;5'UTR;5'UTR;1stExon;1stExon;1stExon,hg19,AGE,1
cg16768018,chr3,147108843,Island,ZIC4;ZIC4;ZIC4;ZIC4;ZIC4,Body;Body;Body;Body;Body,hg19,AGE,1
cg05371578,chr3,147128157,Island,ZIC1,1stExon,hg19,AGE,1
cg04467618,chr6,134210946,Island,TCF21;TCF21,1stExon;1stExon,hg19,AGE,1
cg24624901,chr7,19184273,Island,,,hg19,AGE,1
cg08234504,chr5,139013317,N_Shelf,,,hg19,AGE,-1
cg25124276,chr10,25464008,Island,LOC100128811;GPR158,Body;TSS1500,hg19,AGE,1
cg04228468,chr3,164913627,OpenSea,SLITRK3,5'UTR,hg19,AGE,1
cg18343437,chr8,142528415,Island,,,hg19,AGE,1
cg12448933,chr17,72667378,Island,RAB37;RAB37,5'UTR;1stExon,hg19,AGE,1
cg23798387,chr17,26972805,S_Shore,KIAA0100,TSS1500,hg19,AGE,-1
cg13826452,chr6,26758395,OpenSea,,,hg19,AGE,1
cg02501779,chr20,54579355,Island,CBLN4;CBLN4,5'UTR;1stExon,hg19,AGE,1
cg17275781,chr14,103740085,Island,,,hg19,AGE,1
cg07553761,chr3,160167977,Island,TRIM59,TSS1500,hg19,AGE,1
cg25547580,chr18,55103734,Island,ONECUT2,1stExon,hg19,AGE,1
cg05057720,chr14,38724675,Island,CLEC14A,1stExon,hg19,AGE,1
cg22162281,chr2,207139197,N_Shore,ZDBF2,TSS1500,hg19,AGE,1
cg10486098,chr1,147826960,S_Shore,,,hg19,AGE,1
cg23746497,chr6,105388668,Island,,,hg19,AGE,1
cg19922137,chr1,210111561,Island,SYT14;SYT14;SYT14;SYT14;SYT14;SYT14;SYT14;SYT14;SYT14;SYT14,1stExon;5'UTR;1stExon;Body;Body;5'UTR;5'UTR;1stExon;5'UTR;1stExon,hg19,AGE,1
cg08541518,chr6,69942892,OpenSea,BAI3,Body,hg19,AGE,1
cg21567958,chr14,104376199,OpenSea,,,hg19,AGE,-1
cg03614193,chr18,55021542,Island,ST8SIA3,Body,hg19,AGE,1
cg13206721,chr10,25463350,N_Shore,GPR158;GPR158-AS1,TSS1500;Body,hg19,AGE,1
cg21376204,chr19,3869084,Island,ZFR2;ZFR2;ZFR2;MIR1268A,TSS200;TSS200;TSS200;Body,hg19,AGE,1
cg17283453,chr19,9473880,Island,ZNF177,5'UTR,hg19,AGE,1
cg18358723,chr5,87955618,N_Shore,LOC645323,Body,hg19,AGE,1
cg07934780,chr7,8474700,Island,NXPH1,5'UTR,hg19,AGE,1
cg01106338,chr18,44790514,Island,,,hg19,AGE,1
cg03925294,chr4,6247629,Island,,,hg19,AGE,1
cg19061171,chr3,68982034,Island,FAM19A4;FAM19A4,TSS1500;TSS1500,hg19,AGE,1
cg14754787,chr17,35299600,Island,LHX1,Body,hg19,AGE,1
cg13369611,chr9,79634544,Island,FOXB2,TSS200,hg19,AGE,1
cg14685796,chr5,50265660,Island,,,hg19,AGE,1
cg04061117,chr3,9594385,N_Shore,LHFPL4,5'UTR,hg19,AGE,1
cg09727935,chr6,105388471,Island,LINC00577,TSS200,hg19,AGE,1
cg24199834,chr4,147560126,Island,POU4F2;POU4F2,1stExon;5'UTR,hg19,AGE,1
cg10552807,chr1,66258049,N_Shore,PDE4B;PDE4B;PDE4B,TSS1500;TSS200;TSS200,hg19,AGE,1
cg09017434,chr5,16179660,Island,MARCH11,1stExon,hg19,AGE,1
cg20499290,chr10,38015579,OpenSea,,,hg19,AGE,1
cg02143559,chr3,147138968,Island,LOC440982,TSS200,hg19,AGE,1
cg02036261,chr14,57276057,Island,OTX2,5'UTR,hg19,AGE,1
cg19885761,chr5,175223646,Island,CPLX2;CPLX2,5'UTR;1stExon,hg19,AGE,1
cg22995692,chr5,141263164,Island,,,hg19,AGE,1
cg18823880,chr3,184038427,OpenSea,EIF4G1;EIF4G1;EIF4G1;EIF4G1;EIF4G1;EIF4G1;EIF4G1;EIF4G1;EIF4G1;EIF4G1;EIF4G1;EIF4G1;EIF4G1;EIF4G1;EIF4G1;EIF4G1,5'UTR;1stExon;ExonBnd;ExonBnd;ExonBnd;ExonBnd;ExonBnd;ExonBnd;ExonBnd;Body;Body;Body;Body;Body;Body;Body,hg19,AGE,-1
cg20939084,chr3,147109784,Island,ZIC4;ZIC4;ZIC4;ZIC4;ZIC4,Body;Body;Body;Body;Body,hg19,AGE,1
cg18235050,chr12,126676048,Island,,,hg19,AGE,1
cg03099208,chr7,8474544,Island,NXPH1,5'UTR,hg19,AGE,1
cg02745847,chr17,47075880,Island,IGF2BP1;IGF2BP1,Body;Body,hg19,AGE,1
cg06638433,chr17,47075175,Island,IGF2BP1;IGF2BP1,1stExon;1stExon,hg19,AGE,1
cg01942962,chr4,158143439,Island,GRIA2;GRIA2;GRIA2,Body;Body;Body,hg19,AGE,1
cg03730428,chr11,32009004,Island,,,hg19,AGE,1
cg08523865,chr2,124782253,Island,CNTNAP5,TSS1500,hg19,AGE,1
cg01408508,chr20,26188639,Island,,,hg19,AGE,1
cg11071401,chr17,48637194,Island,CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,hg19,AGE,1
cg03817667,chr7,54609953,Island,VSTM2A,TSS200,hg19,AGE,1
cg06594404,chr4,380396,Island,,,hg19,AGE,1
cg27316886,chr12,3600106,Island,PRMT8,TSS1500,hg19,AGE,1
cg05221167,chr19,9609397,S_Shore,ZNF560,TSS200,hg19,AGE,1
cg14770827,chr19,1775275,Island,ONECUT3,Body,hg19,AGE,1
cg19099050,chr3,9594382,N_Shore,LHFPL4,5'UTR,hg19,AGE,1
cg13347071,chr2,210636748,Island,UNC80;UNC80;UNC80;UNC80,1stExon;5'UTR;1stExon;5'UTR,hg19,AGE,1
cg16181396,chr3,147126206,N_Shore,ZIC1,TSS1500,hg19,AGE,1
cg17241310,chr1,91182856,Island,BARHL2,TSS200,hg19,AGE,1
cg00748589,chr12,11653486,Island,,,hg19,AGE,1
cg08445802,chr6,85482612,Island,,,hg19,AGE,1
cg14176752,chr6,100913250,Island,,,hg19,AGE,1
cg22637867,chr19,12624466,Island,ZNF709,5'UTR,hg19,AGE,1
cg20019985,chr11,32008961,Island,,,hg19,AGE,1
cg06966811,chr14,57276789,Island,OTX2,5'UTR,hg19,AGE,1
cg09438147,chr2,210636533,Island,UNC80;UNC80,TSS200;TSS200,hg19,AGE,1
cg21209095,chr4,158141581,Island,GRIA2;GRIA2;GRIA2,TSS1500;TSS200;TSS200,hg19,AGE,1
cg23712342,chr10,60936794,Island,PHYHIPL;PHYHIPL,Body;TSS1500,hg19,AGE,1
cg20119148,chr19,18344195,Island,PDE4C,5'UTR,hg19,AGE,1
cg04999352,chr11,63304614,OpenSea,RARRES3,Body,hg19,AGE,-1
cg13793788,chr4,158141565,Island,GRIA2;GRIA2;GRIA2,TSS1500;TSS200;TSS200,hg19,AGE,1
cg13210467,chr7,99775443,Island,STAG3;GPC2,TSS200;TSS1500,hg19,AGE,1
cg14134497,chr18,32074251,Island,DTNA;DTNA;DTNA,5'UTR;5'UTR;5'UTR,hg19,AGE,1
cg06424065,chr4,6247640,Island,,,hg19,AGE,1
cg12635937,chr4,81184925,N_Shelf,,,hg19,AGE,1
cg14507337,chr14,60978161,Island,SIX6,3'UTR,hg19,AGE,1
cg16142855,chr4,379900,Island,,,hg19,AGE,1
cg06971092,chr17,35291286,N_Shore,,,hg19,AGE,1
cg08688023,chr10,60936925,Island,PHYHIPL;CCHE1;PHYHIPL,TSS1500;TSS1500;Body,hg19,AGE,1
cg20279283,chr8,11566863,Island,GATA4,Body,hg19,AGE,1
cg27346707,chr5,126626348,Island,MEGF10,TSS200,hg19,AGE,1
cg08516542,chr15,62458215,S_Shore,C2CD4B,TSS1500,hg19,AGE,-1
cg21694941,chr8,57358590,Island,PENK;PENK;PENK,5'UTR;5'UTR;1stExon,hg19,AGE,1
cg09229918,chr16,2041916,Island,SYNGR3,Body,hg19,AGE,1
cg01783525,chr16,33939152,Island,,,hg19,AGE,1
cg06868946,chr8,56015785,S_Shore,XKR4,1stExon,hg19,AGE,1
cg17007640,chr14,29243504,Island,C14orf23;C14orf23,Body;Body,hg19,AGE,1
cg04692403,chr6,134210812,Island,TCF21;TCF21,1stExon;1stExon,hg19,AGE,1
cg22010052,chr5,115298704,Island,LVRN,1stExon,hg19,AGE,1
cg06455149,chr8,25905811,Island,,,hg19,AGE,1
cg16404157,chr14,38724648,Island,CLEC14A,1stExon,hg19,AGE,1
cg27317647,chr8,145562760,Island,,,hg19,AGE,1
cg20072171,chr3,62356962,Island,FEZF2,Body,hg19,AGE,1
cg11432303,chr5,63259058,S_Shore,HTR1A,TSS1500,hg19,AGE,1
cg18541254,chr13,112709550,N_Shore,,,hg19,AGE,1
cg08812889,chr4,174439925,Island,,,hg19,AGE,1
cg13846270,chr13,51417929,Island,DLEU7,TSS200,hg19,AGE,1
cg05009601,chr7,121944500,Island,FEZF1;FEZF1;FEZF1;FEZF1,1stExon;1stExon;5'UTR;5'UTR,hg19,AGE,1
cg15480367,chr14,93389485,Island,CHGA;CHGA,5'UTR;1stExon,hg19,AGE,1
cg03705912,chr5,16179210,Island,MARCH11,1stExon,hg19,AGE,1
cg10748355,chr3,62861796,S_Shore,CADPS;CADPS;CADPS,TSS1500;TSS1500;TSS1500,hg19,AGE,1
cg23428524,chr7,54609970,Island,VSTM2A;VSTM2A,TSS200;TSS200,hg19,AGE,1
cg09617993,chr16,3239294,Island,,,hg19,AGE,1
cg08813062,chr2,175199576,Island,SP9,TSS1500,hg19,AGE,1
cg13066983,chr3,68057306,S_Shore,FAM19A1,Body,hg19,AGE,1
cg12541454,chr4,174437915,Island,,,hg19,AGE,1
cg16987305,chr1,65991596,Island,LEPR;LEPR;LEPR,5'UTR;5'UTR;5'UTR,hg19,AGE,1
cg01102854,chr11,63605717,N_Shore,MARK2;MARK2;MARK2;MARK2,TSS1500;TSS1500;TSS1500;TSS1500,hg19,AGE,-1
cg04733537,chr12,130388748,Island,TMEM132D,TSS1500,hg19,AGE,1
cg27050153,chr14,102030110,Island,,,hg19,AGE,1
cg12892506,chr3,147113918,Island,ZIC4;ZIC4;ZIC4,Body;Body;Body,hg19,AGE,1
cg10722799,chr21,36041699,Island,CLIC6,1stExon,hg19,AGE,1
cg03900143,chr3,147111660,Island,ZIC4;ZIC4;ZIC4;ZIC4;ZIC4,Body;TSS1500;Body;Body;TSS1500,hg19,AGE,1
cg10829207,chr16,6533179,Island,RBFOX1;RBFOX1;RBFOX1,5'UTR;5'UTR;Body,hg19,AGE,1
cg27175093,chr14,57265910,S_Shore,,,hg19,AGE,1
cg18568589,chr19,9609395,S_Shore,ZNF560,TSS200,hg19,AGE,1
cg16987524,chr2,112939425,Island,FBLN7;FBLN7,Body;Body,hg19,AGE,1
cg19165390,chr18,56932082,Island,,,hg19,AGE,1
cg01510609,chr2,3751134,Island,DCDC2C,TSS200,hg19,AGE,1
cg26354128,chr14,93897195,Island,KIAA1409,5'UTR,hg19,AGE,1
cg04738965,chr3,147127662,Island,ZIC1;ZIC1,1stExon;5'UTR,hg19,AGE,1
cg06782035,chr5,16179135,Island,MARCH11,Body,hg19,AGE,1
cg09887059,chr12,113916664,Island,,,hg19,AGE,1
cg26857370,chr16,34442283,Island,,,hg19,AGE,1
cg16150752,chr5,16180072,Island,MARCH11,TSS200,hg19,AGE,1
cg17189313,chr8,11565228,Island,GATA4;GATA4;GATA4,5'UTR;TSS200;5'UTR,hg19,AGE,1
cg00048759,chr7,99775422,Island,STAG3;GPC2,TSS200;TSS1500,hg19,AGE,1
cg22809047,chr2,101618261,Island,RPL31;RPL31;RPL31,TSS1500;TSS1500;TSS1500,hg19,AGE,1
cg01302656,chr14,29254853,Island,C14orf23,Body,hg19,AGE,1
cg19760241,chr17,35300010,Island,LHX1,Body,hg19,AGE,1
cg26349275,chr9,21990277,S_Shore,CDKN2A,Body,hg19,AGE,1
cg02780919,chr11,9026308,Island,NRIP3,TSS1500,hg19,AGE,1
cg23531488,chr7,123198305,S_Shore,NDUFA5,TSS1500,hg19,AGE,-1
cg12595013,chr3,147128123,Island,ZIC1,1stExon,hg19,AGE,1
cg09643544,chr19,9473696,Island,ZNF177;ZNF177,1stExon;5'UTR,hg19,AGE,1
cg18490614,chr15,27213362,Island,,,hg19,AGE,1
cg13912117,chr8,132054555,Island,,,hg19,AGE,1
cg00602326,chr5,31427700,OpenSea,RNASEN;RNASEN,Body;Body,hg19,AGE,1
cg24772753,chr2,171573419,Island,SP5,Body,hg19,AGE,1
cg05406635,chr14,100069666,Island,CCDC85C,1stExon,hg19,AGE,1
cg10804656,chr10,22623460,Island,,,hg19,AGE,1
cg22694818,chr1,75595970,Island,LHX8,5'UTR,hg19,AGE,1
cg11201710,chr3,192232468,Island,FGF12,Body,hg19,AGE,1
cg03569640,chr12,114840872,Island,TBX5;TBX5;TBX5,5'UTR;Body;Body,hg19,AGE,1
cg22645278,chr19,9609580,S_Shore,ZNF560,TSS1500,hg19,AGE,1
cg15377283,chr8,55371369,Island,SOX17,Body,hg19,AGE,1
cg00298065,chr19,58715577,Island,ZNF274;ZNF274;ZNF274,Body;Body;5'UTR,hg19,AGE,1
cg19792599,chr11,125774406,Island,DDX25;PUS3;DDX25,5'UTR;TSS1500;1stExon,hg19,AGE,1
cg26886462,chr5,155108449,Island,,,hg19,AGE,1
cg00154357,chr3,147111280,Island,ZIC4;ZIC4;ZIC4;ZIC4;ZIC4,Body;TSS1500;Body;Body;TSS1500,hg19,AGE,1
cg24628676,chr5,59189846,Island,PDE4D;PDE4D,Body;TSS1500,hg19,AGE,1
cg14156751,chr10,50976571,Island,,,hg19,AGE,1
cg02938414,chr4,174444166,S_Shore,,,hg19,AGE,1
cg19389953,chr7,121939827,N_Shore,,,hg19,AGE,1
cg10237903,chr8,139509075,Island,FAM135B,TSS200,hg19,AGE,1
cg14345012,chr20,26189240,Island,MIR663,TSS1500,hg19,AGE,1
cg19671120,chr2,98962974,Island,CNGA3;CNGA3;CNGA3;CNGA3,1stExon;1stExon;5'UTR;5'UTR,hg19,AGE,1
cg23906738,chr14,36987301,Island,NKX2-1;NKX2-1,Body;Body,hg19,AGE,1
cg12864915,chr3,179755019,Island,PEX5L;PEX5L;PEX5L;PEX5L;PEX5L,TSS200;TSS200;TSS200;TSS200;TSS200,hg19,AGE,1
cg03544320,chr4,5894691,Island,CRMP1,1stExon,hg19,AGE,1
cg14871932,chr7,44185323,Island,GCK;GCK;GCK,Body;Body;Body,hg19,AGE,1
cg00495860,chr21,38065524,Island,,,hg19,AGE,1
cg12075720,chr19,17799037,Island,UNC13A,TSS200,hg19,AGE,1
cg00182639,chr12,114841671,N_Shore,TBX5;TBX5;TBX5;TBX5,Body;Body;5'UTR;1stExon,hg19,AGE,1
cg26375057,chr3,147127898,Island,ZIC1;ZIC1,1stExon;5'UTR,hg19,AGE,1
cg15855970,chr6,99273338,S_Shore,,,hg19,AGE,1
cg25148589,chr4,158141936,N_Shore,GRIA2;GRIA2;GRIA2;GRIA2;GRIA2,1stExon;5'UTR;5'UTR;1stExon;5'UTR,hg19,AGE,1
cg18247055,chr10,22634226,Island,SPAG6;SPAG6,TSS200;TSS200,hg19,AGE,1
cg06621358,chr3,48699637,Island,CELSR3,1stExon,hg19,AGE,1
cg06676637,chr18,56940333,Island,RAX,1stExon,hg19,AGE,1
cg26077454,chr14,95240500,S_Shore,,,hg19,AGE,1
cg05967403,chr13,28367245,Island,GSX1,Body,hg19,AGE,1
cg08534628,chr13,100650073,Island,,,hg19,AGE,1
cg00514473,chr4,174449596,S_Shore,HAND2,Body,hg19,AGE,1
cg20974724,chr7,121944450,Island,FEZF1;FEZF1,1stExon;1stExon,hg19,AGE,1
cg05215127,chr2,115918775,Island,DPP10;DPP10;DPP10-AS1;DPP10;DPP10;DPP10,TSS1500;TSS1500;Body;Body;5'UTR;Body,hg19,AGE,1
cg06821999,chr14,95238156,Island,,,hg19,AGE,1
cg14658067,chr7,1273394,Island,UNCX,Body,hg19,AGE,1
cg17131280,chr5,115298046,Island,LVRN,TSS200,hg19,AGE,1
cg07171111,chr4,10462903,Island,,,hg19,AGE,1
cg20334313,chr8,50822381,Island,,,hg19,AGE,1
cg23189410,chr3,147125712,N_Shore,ZIC4;ZIC1,TSS1500;TSS1500,hg19,AGE,1
cg04565088,chr18,19184921,S_Shelf,,,hg19,AGE,-1
cg26078977,chr5,59189467,Island,PDE4D;PDE4D;PDE4D,Body;1stExon;5'UTR,hg19,AGE,1
cg24637364,chr1,66259084,S_Shore,PDE4B;PDE4B,5'UTR;5'UTR,hg19,AGE,1
cg03947688,chr5,79866382,Island,ANKRD34B,TSS200,hg19,AGE,1
cg18915452,chr10,133999471,Island,DPYSL4,TSS1500,hg19,AGE,1
cg09849302,chr21,38378433,Island,RIPPLY3,TSS1500,hg19,AGE,1
cg18582824,chr2,124782586,Island,CNTNAP5,TSS1500,hg19,AGE,1
cg20841748,chr17,40838078,N_Shore,CNTNAP1,Body,hg19,AGE,1
cg00735667,chr3,74663796,Island,,,hg19,AGE,1
cg24809973,chr8,72468820,Island,,,hg19,AGE,1
cg17920479,chr20,44650246,N_Shore,SLC12A5,TSS200,hg19,AGE,1
cg17408527,chr19,58629967,Island,ZSCAN18;ZSCAN18,TSS200;TSS200,hg19,AGE,1
cg01187920,chr5,71015162,Island,CARTPT,1stExon,hg19,AGE,1
cg16818628,chr10,50604006,Island,DRGX;DRGX,5'UTR;1stExon,hg19,AGE,1
cg25351606,chr6,100917427,Island,,,hg19,AGE,1
cg26832294,chr4,122078348,OpenSea,TNIP3;TNIP3,Body;Body,hg19,AGE,1
cg13434842,chr8,11567896,S_Shore,GATA4,Body,hg19,AGE,1
cg12781700,chr17,42733729,Island,C17orf104,TSS200,hg19,AGE,1
cg20213416,chr11,30037943,Island,KCNA4,5'UTR,hg19,AGE,1
cg16705627,chr13,112721950,Island,SOX1;SOX1,1stExon;5'UTR,hg19,AGE,1
cg24189904,chr19,9473781,Island,ZNF177,5'UTR,hg19,AGE,1
cg18229521,chr14,92790285,Island,SLC24A4;SLC24A4;SLC24A4,1stExon;5'UTR;1stExon,hg19,AGE,1
cg15222899,chr18,55095249,Island,,,hg19,AGE,1
cg17787134,chr17,47073522,Island,IGF2BP1;IGF2BP1,TSS1500;TSS1500,hg19,AGE,1
cg02861071,chr1,102462656,OpenSea,OLFM3;OLFM3,5'UTR;1stExon,hg19,AGE,1
cg10192893,chr4,41747895,Island,PHOX2B,Body,hg19,AGE,1
cg06641153,chr18,55021669,S_Shore,ST8SIA3,Body,hg19,AGE,1
cg16288089,chr7,97361408,Island,TAC1;TAC1;TAC1;TAC1;TAC1;TAC1;TAC1;TAC1,5'UTR;1stExon;1stExon;1stExon;5'UTR;5'UTR;1stExon;5'UTR,hg19,AGE,1
cg10865628,chr2,115918782,Island,DPP10;DPP10;DPP10-AS1;DPP10;DPP10;DPP10,TSS1500;TSS1500;Body;Body;5'UTR;Body,hg19,AGE,1
cg04670857,chr2,79740208,Island,CTNNA2;CTNNA2;CTNNA2;CTNNA2,1stExon;1stExon;5'UTR;5'UTR,hg19,AGE,1
cg02935338,chr18,25755847,Island,CDH2,Body,hg19,AGE,1
cg18071806,chr12,19592058,N_Shore,AEBP2;AEBP2;AEBP2,TSS1500;TSS1500;TSS1500,hg19,AGE,1
cg03650342,chr10,25465350,Island,GPR158;LOC100128811,Body;TSS200,hg19,AGE,1
cg10023530,chr18,11148783,Island,FAM38B,TSS200,hg19,AGE,1
cg00184376,chr13,28499045,Island,PDX1,3'UTR,hg19,AGE,1
cg14532827,chr2,237076820,Island,GBX2;GBX2,TSS200;TSS200,hg19,AGE,1
cg17484671,chr1,31158158,Island,,,hg19,AGE,1
cg21901718,chr5,16180076,Island,MARCH11,TSS200,hg19,AGE,1
cg19092168,chr19,57149467,Island,,,hg19,AGE,1
cg08119884,chr2,79739863,Island,CTNNA2;CTNNA2,TSS200;TSS200,hg19,AGE,1
cg17362434,chr11,69832232,Island,,,hg19,AGE,1
cg04493558,chr13,100635730,N_Shore,ZIC2,Body,hg19,AGE,1
cg20024221,chr19,58629522,Island,ZSCAN18;ZSCAN18,Body;Body,hg19,AGE,1
cg15105326,chr3,147108916,Island,ZIC4;ZIC4;ZIC4;ZIC4;ZIC4,Body;Body;Body;Body;Body,hg19,AGE,1
cg19707040,chr2,79740185,Island,CTNNA2;CTNNA2;CTNNA2;CTNNA2,1stExon;1stExon;5'UTR;5'UTR,hg19,AGE,1
cg17380661,chr6,100912946,Island,SIM1,TSS1500,hg19,AGE,1
cg11215976,chr1,236849942,Island,ACTN2;ACTN2,1stExon;5'UTR,hg19,AGE,1
cg17269633,chr17,42733600,Island,C17orf104,TSS200,hg19,AGE,1
cg04422168,chr2,220174282,Island,PTPRN;PTPRN;PTPRN;PTPRN;PTPRN,TSS1500;1stExon;1stExon;5'UTR;5'UTR,hg19,AGE,1
cg18839504,chr5,172665119,N_Shore,,,hg19,AGE,1
cg19332452,chr19,12936719,Island,RTBDN;RTBDN,Body;Body,hg19,AGE,1
cg08066141,chr5,161274023,OpenSea,GABRA1;GABRA1;GABRA1,TSS1500;TSS1500;TSS200,hg19,AGE,1
cg26770907,chr16,48844808,Island,,,hg19,AGE,1
cg09876519,chr6,50675610,OpenSea,,,hg19,AGE,1
cg03091551,chr14,57275967,Island,OTX2,5'UTR,hg19,AGE,1
cg12265623,chr7,8481994,Island,NXPH1,Body,hg19,AGE,1
cg05637536,chr1,154475068,Island,TDRD10;TDRD10;TDRD10;TDRD10;SHE,5'UTR;1stExon;1stExon;5'UTR;TSS1500,hg19,AGE,1
cg00884040,chr16,6069401,Island,RBFOX1;RBFOX1;RBFOX1;RBFOX1;RBFOX1,TSS1500;1stExon;1stExon;5'UTR;5'UTR,hg19,AGE,1
cg04655510,chr20,21378703,S_Shore,NKX2-4,TSS1500,hg19,AGE,1
cg00123055,chr8,55370951,Island,SOX17,1stExon,hg19,AGE,1
cg15124215,chr4,172734426,Island,GALNTL6,TSS200,hg19,AGE,1
cg10281977,chr14,105070864,Island,TMEM179,1stExon,hg19,AGE,1
cg19586576,chr17,42906845,Island,GJC1;GJC1,5'UTR;5'UTR,hg19,AGE,1
cg12296772,chr8,17271067,Island,MTMR7,TSS200,hg19,AGE,1
